,Date,SessionTime,DriverAhead,sGapToCarAhead,Time,nEngine,vCar,nGear,rThrottlePedal,pBrakeF1,Source,RelativeDistance,Status,X,Y,Z,sLap,Lap
29365,06:39.8,0 days 01:20:53.473000,10,125.0677778,0 days 00:00:12.123000,10893.3,193.175,5,3.983333333,TRUE,pos,0.217254308,OnTrack,-2335,-3262,867,713.8091779,27
29366,06:39.8,0 days 01:20:53.477000,10,124.9833333,0 days 00:00:12.127000,10885,193,4,4,TRUE,car,0.217316753,OnTrack,-2334.001434,-3260.318351,867.0204302,714.0236224,27
29367,06:40.1,0 days 01:20:53.756000,10,119.6358333,0 days 00:00:12.406000,11615,181,4,3,TRUE,car,0.221591503,OnTrack,-2287.559182,-3150.196122,868.5230192,728.0511224,27
29368,06:40.1,0 days 01:20:53.813000,10,118.5908298,0 days 00:00:12.463000,11697.93528,179.5749952,4,3.57000192,TRUE,pos,0.222447109,OnTrack,-2281,-3121,869,730.8943931,27
29369,06:40.3,0 days 01:20:53.956000,10,115.9691667,0 days 00:00:12.606000,11906,176,3,5,FALSE,car,0.22457119,OnTrack,-2266.742852,-3030.957494,870.5721387,737.8855042,27
29370,06:40.4,0 days 01:20:54.093000,10,113.5716633,0 days 00:00:12.743000,11748.02165,173.859372,3,10.5656328,FALSE,pos,0.226583015,OnTrack,-2260,-2944,872,744.5018192,27
29371,06:40.6,0 days 01:20:54.276000,10,110.3691667,0 days 00:00:12.926000,11537,171,3,18,FALSE,car,0.229203248,OnTrack,-2265.986942,-2855.568464,872.9588882,753.1943192,27
29372,06:40.6,0 days 01:20:54.293000,10,110.1047192,0 days 00:00:12.943000,11519.99981,170.2916587,3,18.77917547,FALSE,pos,0.229440393,OnTrack,-2267,-2848,873,753.9984743,27
29373,06:40.8,0 days 01:20:54.453000,10,107.6158303,0 days 00:00:13.103000,11359.99981,163.624992,3,26.1125088,FALSE,pos,0.231624698,OnTrack,-2281,-2774,874,761.2706962,27
29374,06:40.8,0 days 01:20:54.516000,10,106.6358333,0 days 00:00:13.166000,11297,161,3,29,FALSE,car,0.232474131,OnTrack,-2291.606414,-2737.542471,875.9850272,764.0881962,27
29375,06:41.0,0 days 01:20:54.693000,10,103.9808305,0 days 00:00:13.343000,11227.18326,159.5249984,3,34.9000064,FALSE,pos,0.23484835,OnTrack,-2330,-2629,884,771.9315086,27
29376,06:41.2,0 days 01:20:54.876000,10,101.2358333,0 days 00:00:13.526000,11155,158,3,41,FALSE,car,0.237289034,OnTrack,-2356.69512,-2567.145482,886.1665935,779.9631752,27
29377,06:41.3,0 days 01:20:55.036000,10,98.96916667,0 days 00:00:13.686000,11222,157,3,47,FALSE,car,0.239415446,OnTrack,-2378.940927,-2529.700813,885.123696,786.940953,27
29378,06:41.4,0 days 01:20:55.073000,10,98.44499728,0 days 00:00:13.723000,11231.80505,157,3,47.55500288,FALSE,pos,0.239906032,OnTrack,-2386,-2518,885,788.5545641,27
29379,06:41.5,0 days 01:20:55.233000,10,96.17833061,0 days 00:00:13.883000,11274.20505,157,3,49.95500288,FALSE,pos,0.242033182,OnTrack,-2423,-2458,885,795.5323419,27
29380,06:41.5,0 days 01:20:55.236000,10,96.13583333,0 days 00:00:13.886000,11275,157,3,50,FALSE,car,0.242073462,OnTrack,-2423.717047,-2456.889885,885.00918,795.6631752,27
29381,06:41.8,0 days 01:20:55.453000,10,92.94110828,0 days 00:00:14.103000,11443.17515,160.1000027,3,56.20000549,FALSE,pos,0.245027894,OnTrack,-2480,-2378,886,805.3136476,27
29382,06:41.8,0 days 01:20:55.516000,10,92.01361111,0 days 00:00:14.166000,11492,161,3,58,FALSE,car,0.245889493,OnTrack,-2502.432186,-2349.91373,885.9138242,808.1311476,27
29383,06:42.0,0 days 01:20:55.676000,10,89.61361111,0 days 00:00:14.326000,11701,162,3,67,FALSE,car,0.248083626,OnTrack,-2566.767648,-2272.675892,885.0749627,815.3311476,27
29384,06:42.0,0 days 01:20:55.713000,10,89.05860823,0 days 00:00:14.363000,11619.44541,162.6166699,3,58.82912427,FALSE,pos,0.248600159,OnTrack,-2579,-2258,885,817.0024856,27
29385,06:42.2,0 days 01:20:55.916000,10,86.01361111,0 days 00:00:14.566000,11172,166,3,14,TRUE,car,0.251456089,OnTrack,-2623.392926,-2203.751403,885.6857206,826.3630412,27
29386,06:42.3,0 days 01:20:56.034000,10,84.7680542,0 days 00:00:14.684000,11009.74982,162.4599962,3,9.86999552,TRUE,pos,0.253044329,OnTrack,-2648,-2171,886,831.6881188,27
29387,06:42.5,0 days 01:20:56.154000,10,83.50138754,0 days 00:00:14.804000,10844.74982,158.8599962,3,5.66999552,TRUE,pos,0.254596757,OnTrack,-2679,-2127,886,836.983452,27
29388,06:42.6,0 days 01:20:56.316000,10,81.79138889,0 days 00:00:14.966000,10622,154,3,0,FALSE,car,0.256670541,OnTrack,-2713.194791,-2065.986733,887.7809186,843.913452,27
29389,06:42.8,0 days 01:20:56.454000,10,80.44972098,0 days 00:00:15.104000,10479.68737,151.4124976,3,0,FALSE,pos,0.258435111,OnTrack,-2734,-2016,890,849.7175978,27
29390,06:42.8,0 days 01:20:56.476000,10,80.23583333,0 days 00:00:15.126000,10457,151,3,0,FALSE,car,0.258715689,OnTrack,-2736.666275,-2008.311119,890.3249169,850.6403756,27
29391,06:43.0,0 days 01:20:56.674000,10,78.31083209,0 days 00:00:15.324000,10111.20692,149.5857134,3,0,FALSE,pos,0.261226,OnTrack,-2749,-1931,893,858.8675898,27
29392,06:43.1,0 days 01:20:56.756000,10,77.51361111,0 days 00:00:15.406000,9968,149,3,0,FALSE,car,0.262247295,OnTrack,-2743.966556,-1881.912183,894.0956753,862.2614787,27
29393,06:43.2,0 days 01:20:56.916000,10,76.13583333,0 days 00:00:15.566000,10013,144,3,6,FALSE,car,0.264197635,OnTrack,-2723.838684,-1779.066261,895.8848021,868.6614787,27
29394,06:43.2,0 days 01:20:56.934000,10,76.00083237,0 days 00:00:15.584000,10016.99378,143.718748,3,7.8562632,FALSE,pos,0.264413368,OnTrack,-2722,-1771,896,869.3800724,27
29395,06:43.5,0 days 01:20:57.233000,10,73.75833189,0 days 00:00:15.883000,10083.33442,139.046872,3,38.6906448,FALSE,pos,0.267927497,OnTrack,-2698,-1712,895,880.9286876,27
29396,06:43.5,0 days 01:20:57.236000,10,73.73583333,0 days 00:00:15.886000,10084,139,3,39,FALSE,car,0.267962875,OnTrack,-2697.587332,-1711.180084,894.9592504,881.044521,27
29397,06:43.7,0 days 01:20:57.393000,10,72.47110956,0 days 00:00:16.043000,10213.52516,140.3083349,3,46.8500096,FALSE,pos,0.269827688,OnTrack,-2670,-1655,892,887.1635233,27
29398,06:43.8,0 days 01:20:57.476000,10,71.8025,0 days 00:00:16.126000,10282,141,3,51,FALSE,car,0.270827438,OnTrack,-2654.124262,-1625.028546,889.8959072,890.4143567,27
29399,06:43.9,0 days 01:20:57.633000,10,70.05805342,0 days 00:00:16.283000,10480.21274,143.7475034,3,57.28000768,FALSE,pos,0.272749211,OnTrack,-2622,-1571,885,896.683345,27
29400,06:44.2,0 days 01:20:57.876000,10,67.35805556,0 days 00:00:16.526000,10787,148,3,67,FALSE,car,0.275838729,OnTrack,-2563.92501,-1488.851126,875.7932524,906.673345,27
29401,06:44.2,0 days 01:20:57.933000,10,66.51888606,0 days 00:00:16.583000,10836.87517,151.562512,3,67,FALSE,pos,0.276592327,OnTrack,-2552,-1473,874,909.0730848,27
29402,06:44.3,0 days 01:20:58.036000,10,65.0025,0 days 00:00:16.686000,10927,158,3,67,FALSE,car,0.277978686,OnTrack,-2533.669344,-1449.236987,871.4344901,913.5936403,27
29403,06:44.6,0 days 01:20:58.273000,10,60.52582971,0 days 00:00:16.923000,11857.22575,164.5833387,3,88.7250176,FALSE,pos,0.281269983,OnTrack,-2495,-1403,867,924.4287101,27
29404,06:44.7,0 days 01:20:58.396000,10,58.2025,0 days 00:00:17.046000,12340,168,3,100,FALSE,car,0.283098329,OnTrack,-2465.831637,-1369.732151,863.8536632,930.1687101,27
29405,06:45.5,0 days 01:20:59.213000,10,29.38055454,0 days 00:00:17.863000,11552.75544,204.556713,3,100,FALSE,pos,0.297599719,OnTrack,-2175,-1029,832,976.5917197,27
29406,06:45.7,0 days 01:20:59.357000,10,24.30055556,0 days 00:00:18.007000,11414,211,4,100,FALSE,car,0.300262932,OnTrack,-2133.494066,-969.2841454,826.6030669,985.0317197,27
29407,06:45.8,0 days 01:20:59.493000,10,19.125,0 days 00:00:18.143000,11110.55,216.95,4,100,FALSE,pos,0.302768828,OnTrack,-2093,-909,821,993.2276086,27
29408,06:45.8,0 days 01:20:59.517000,10,18.21166667,0 days 00:00:18.167000,11057,218,5,100,FALSE,car,0.30321553,OnTrack,-2085.147627,-897.4321855,819.8904304,994.680942,27
29409,06:46.0,0 days 01:20:59.673000,10,12.015,0 days 00:00:18.323000,11375.825,221.9,5,100,FALSE,pos,0.306147823,OnTrack,-2030,-817,812,1004.296609,27
29410,06:46.0,0 days 01:20:59.677000,10,11.85611111,0 days 00:00:18.327000,11384,222,5,100,TRUE,car,0.306222305,OnTrack,-2028.537242,-814.8841596,811.7909245,1004.543275,27
29411,06:46.2,0 days 01:20:59.917000,10,2.789444444,0 days 00:00:18.567000,10363,212,5,3,TRUE,car,0.310529307,OnTrack,-1938.865439,-687.2982531,799.2581101,1018.676609,27
29412,06:46.3,0 days 01:20:59.993000,10,154.0083333,0 days 00:00:18.643000,10546.16,203.64,5,1.86,TRUE,pos,0.311790815,OnTrack,-1912,-651,796,1022.975675,27
29413,06:46.4,0 days 01:21:00.117000,63,400.7338889,0 days 00:00:18.767000,10845,190,5,0,TRUE,car,0.313746014,OnTrack,-1871.139627,-598.3586231,791.7759909,1029.52012,27
29414,06:46.5,0 days 01:21:00.173000,63,400.5316667,0 days 00:00:18.823000,10895.4,186.2,5,0,TRUE,pos,0.314595845,OnTrack,-1854,-576,790,1032.416564,27
29415,06:46.5,0 days 01:21:00.233000,63,400.315,0 days 00:00:18.883000,10949.4,182.1285714,5,0,TRUE,pos,0.315483755,OnTrack,-1836,-552,788,1035.45204,27
29416,06:46.7,0 days 01:21:00.397000,63,399.7227778,0 days 00:00:19.047000,11097,171,4,0,TRUE,car,0.317799065,OnTrack,-1769.460088,-470.2271455,780.1997525,1043.24204,27
